cohort,score,n,events,median_cutoff,high_n,low_n,hr_high_vs_low,ci_lower,ci_upper,p_value,logrank_p,c_index,c1q_genes_available
GSE72094,TREM2,398,113,0.10951934764018102,199,199,0.6886000364103615,0.47440025053644874,0.999514670593371,0.049702266579756384,0.04844037052371071,0.5448766760470121,"C1QA,C1QB,C1QC"
GSE31210,C1Q_score,178,26,-0.08543215707678577,89,89,4.642453346276705,1.7496356577233891,12.318206351829579,0.00204558226029249,0.0006885543608410887,0.283987915407855,"C1QA,C1QB,C1QC"
GSE31210,SPP1,178,26,0.2595860240753801,89,89,9.35825707504841,2.807091994373439,31.19847003882798,0.00027261443242014783,8.969424094864182e-06,0.2326283987915408,"C1QA,C1QB,C1QC"
GSE31210,CD68,178,26,-0.03578060258700069,89,89,1.1475466156742735,0.5307012540789955,2.4813644682841884,0.7265053528569978,0.726298340178664,0.5001373249107388,"C1QA,C1QB,C1QC"
GSE31210,CD163,178,26,-0.007961609649991317,89,89,3.0996897470803453,1.302066595881308,7.379097627223711,0.010575467030542766,0.007056999893455233,0.3372699807745125,"C1QA,C1QB,C1QC"
GSE31210,MARCO,178,26,-0.11166507943472216,89,89,0.6860728594359383,0.31495263278401003,1.4944976464997557,0.3428796697004949,0.3400391518619278,0.5116726174127987,"C1QA,C1QB,C1QC"
GSE31210,MSR1,178,26,-0.13755145537309132,89,89,3.5448727892797693,1.422688549353586,8.832659191560717,0.006591078463010848,0.0037201084335337304,0.29689645701730294,"C1QA,C1QB,C1QC"
GSE31210,MRC1,178,26,-0.07940613385845074,89,89,0.5666366255040182,0.25627368920101556,1.2528678475094452,0.16058279563307976,0.15513811118734455,0.56797583081571,"C1QA,C1QB,C1QC"
GSE31210,LST1,178,26,0.1023264916259612,89,89,1.7141791475627466,0.7772413956860741,3.7805631123715413,0.1817155097406499,0.17650088418526033,0.3647349629222741,"C1QA,C1QB,C1QC"
GSE31210,AIF1,178,26,0.014154270973622277,89,89,3.820877931138599,1.5326572991620315,9.525357151036914,0.004025646157709973,0.0019716586321959434,0.32271354023619886,"C1QA,C1QB,C1QC"
